file,flake8_issues,bandit_issues,top_flake8_codes,top_bandit_codes
".\Altaakhi Workshop\Altaakhi Workshop\clean_project.py",0,2,"","B110:2"
".\Altaakhi Workshop\Altaakhi Workshop\clean_temp_files.py",0,2,"","B110:2"
".\Altaakhi Workshop\Altaakhi Workshop\workshop\settings.py",0,1,"","B105:1"
".\Altaakhi Workshop\clean_project.py",0,2,"","B110:2"
".\Altaakhi Workshop\clean_temp_files.py",0,2,"","B110:2"
".\Altaakhi Workshop\project_full_check.py",0,3,"","B603:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\AvifImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\BlpImagePlugin.py",0,8,"","B101:8"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\BmpImagePlugin.py",0,17,"","B101:17"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\BufrStubImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\CurImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\DcxImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\DdsImagePlugin.py",0,6,"","B101:6"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\EpsImagePlugin.py",0,9,"","B101:4;B603:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\FitsImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\FliImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\FpxImagePlugin.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\FtexImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GbrImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GdImageFile.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GifImagePlugin.py",0,20,"","B101:15;B603:3;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GimpGradientFile.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GribStubImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\Hdf5StubImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\IcnsImagePlugin.py",0,3,"","B101:1;B606:1;B607:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\IcoImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\Image.py",0,17,"","B101:15;B405:1;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageColor.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageDraw.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageFile.py",0,10,"","B101:10"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageFont.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageGrab.py",0,8,"","B603:5;B607:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageMorph.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageOps.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImagePalette.py",0,2,"","B101:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageQt.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageShow.py",0,12,"","B603:7;B607:4;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageText.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageTk.py",0,2,"","B110:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageWin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImtImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\IptcImagePlugin.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\Jpeg2KImagePlugin.py",0,17,"","B101:17"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\JpegImagePlugin.py",0,13,"","B101:9;B404:1;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\McIdasImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\MicImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\MpegImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\MpoImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\MspImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PcdImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PcxImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PdfImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PdfParser.py",0,23,"","B101:23"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PixarImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PngImagePlugin.py",0,29,"","B101:28;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PpmImagePlugin.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PsdImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\QoiImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\SgiImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\SpiderImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\SunImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\TgaImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\TiffImagePlugin.py",0,11,"","B101:10;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\WalImageFile.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\WebPImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\WmfImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\XVThumbImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\XbmImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\XpmImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\django\apps\config.py",0,2,"","B110:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\conf\global_settings.py",0,2,"","B105:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\conf\locale\ar\formats.py",0,1,"","B613:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\conf\locale\ckb\formats.py",0,1,"","B613:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\conf\locale\fa\formats.py",0,1,"","B613:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\admin\helpers.py",0,6,"","B703:3;B308:3"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\admin\options.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py",0,9,"","B308:5;B703:4"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\admindocs\utils.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\auth\forms.py",0,3,"","B107:3"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\auth\hashers.py",0,9,"","B101:7;B105:1;B324:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\auth\management\commands\createsuperuser.py",0,1,"","B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\auth\views.py",0,2,"","B105:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\flatpages\views.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\gis\db\backends\postgis\operations.py",0,1,"","B608:1"
